DAY,MONTH,BELGIUM,VLAANDEREN,WALLONIE,BRUSSELS,PROVINCIE ANTWERPEN,PROVINCIE VLAAMS BRABANT,PROVINCE BRABANT WALLON,PROVINCIE WEST VLAANDEREN,PROVINCIE OOST VLAANDEREN,PROVINCE HAINAUT,PROVINCE LIEGE,PROVINCIE LIMBURG,PROVINCE LUXEMBOURG,PROVINCE NAMUR
7,3,31907,18835,9844,3228,5202,3240,1112,3462,4325,3638,2951,2606,827,1316
8,3,32104,18793,9964,3347,5323,3189,1156,3388,4376,3564,3021,2517,841,1382
9,3,31649,18583,9957,3109,5109,3285,1142,3476,4188,3708,2959,2525,782,1366
10,3,33574,19610,10247,3717,5586,3328,1146,3546,4498,3732,3130,2652,865,1374
11,3,31660,18536,9903,3221,5153,3289,1032,3366,4264,3653,3093,2464,740,1385
12,3,32266,18899,10063,3304,5243,3348,1154,3499,4311,3755,2960,2498,811,1383
13,3,31452,18239,10029,3184,5002,3217,1189,3303,4254,3633,3018,2463,806,1383
14,3,31909,18645,10069,3195,5090,3259,1087,3507,4350,3723,3064,2439,795,1400
15,3,33542,19515,10367,3660,5433,3309,1121,3544,4604,3783,3215,2625,850,1398
16,3,31948,18818,9846,3284,5229,3232,1091,3505,4342,3680,2940,2510,748,1387
17,3,31812,18796,9970,3046,5348,3177,1135,3514,4346,3621,3028,2411,859,1327
18,3,31743,18701,9819,3223,5274,3237,1078,3499,4313,3569,2978,2378,826,1368
19,3,31674,18448,10050,3176,5200,3299,1180,3287,4266,3665,3035,2396,794,1376
20,3,32837,19176,10206,3455,5342,3353,1130,3538,4367,3773,3109,2576,817,1377
21,3,32918,19472,10093,3353,5548,3351,1164,3582,4538,3704,2986,2453,835,1404
22,3,31905,18758,9978,3169,5175,3148,1117,3501,4393,3699,2976,2541,832,1354
23,3,32350,18829,10189,3332,5308,3293,1146,3384,4296,3719,3097,2548,823,1404
24,3,31667,18602,9945,3120,5144,3312,1103,3424,4265,3607,3019,2457,790,1426
25,3,33022,19454,10170,3398,5379,3520,1118,3516,4506,3811,3099,2533,801,1341
26,3,32001,18692,10103,3206,5234,3294,1133,3346,4349,3653,3126,2469,758,1433
27,3,31694,18590,9887,3217,5140,3278,1095,3450,4207,3678,2934,2515,825,1355
28,3,31966,18744,9920,3302,5328,3209,1119,3475,4266,3646,2978,2466,803,1374
29,3,31899,18756,9996,3147,5155,3286,1162,3537,4299,3664,3030,2479,795,1345
30,3,32538,19106,10203,3229,5402,3287,1179,3483,4370,3750,3028,2564,787,1459
31,3,31287,18531,9699,3057,5235,3211,1112,3373,4250,3432,3010,2462,812,1333
1,4,33850,19471,10392,3987,5514,3438,1166,3330,4555,3756,3270,2634,801,1399
2,4,32687,19195,10129,3363,5371,3437,1123,3478,4392,3717,3113,2517,814,1362
3,4,32544,18937,10040,3567,5207,3273,1150,3442,4400,3708,3017,2615,824,1341
4,4,32781,19268,10067,3446,5249,3382,1117,3556,4433,3748,3063,2648,791,1348
5,4,32164,18758,10055,3351,5271,3181,1160,3425,4334,3590,3065,2547,813,1427
6,4,32017,18914,9869,3234,5317,3301,1095,3469,4383,3634,3006,2444,791,1343
7,4,31759,18593,9882,3284,5317,3221,1136,3297,4343,3537,3114,2415,789,1306
8,4,31982,18659,10038,3285,5178,3202,1194,3471,4389,3629,3038,2419,790,1387
9,4,31550,18537,9797,3216,5048,3276,1176,3438,4257,3574,2877,2518,801,1369
10,4,33688,19590,10494,3604,5521,3413,1158,3467,4560,3814,3296,2629,852,1374
11,4,31886,18663,10034,3189,5108,3227,1169,3430,4436,3722,2906,2462,855,1382
12,4,32221,18947,10015,3259,5299,3353,1155,3337,4407,3681,3074,2551,784,1321
13,4,31059,18265,9665,3129,5036,3122,1116,3316,4299,3649,2844,2492,762,1294
14,4,32494,19089,10046,3359,5239,3421,1218,3437,4475,3662,2993,2517,795,1378
15,4,33583,19642,10342,3599,5522,3380,1165,3536,4572,3758,3232,2632,783,1404
16,4,31941,18716,9968,3257,5131,3351,1084,3415,4350,3627,3094,2469,803,1360
17,4,32007,18798,10008,3201,5198,3272,1162,3450,4346,3658,2957,2532,832,1399
18,4,32320,18767,10228,3325,5203,3307,1186,3372,4448,3688,3051,2437,858,1445
19,4,31991,18709,10046,3236,5164,3300,1119,3434,4276,3655,3025,2535,841,1406
20,4,34045,19928,10555,3562,5642,3421,1151,3562,4567,3895,3262,2736,851,1396
21,4,32407,19353,9889,3165,5390,3404,1087,3496,4452,3682,3005,2611,759,1356
22,4,32865,19298,10341,3226,5305,3309,1150,3579,4566,3834,3097,2539,815,1445
23,4,32353,19075,10043,3235,5187,3474,1165,3464,4398,3725,2965,2552,806,1382
24,4,32765,19120,10283,3362,5343,3395,1168,3518,4382,3868,3094,2482,783,1370
25,4,33565,19508,10531,3526,5427,3442,1174,3571,4487,3837,3150,2581,884,1486
26,4,32615,19083,10184,3348,5311,3323,1116,3481,4412,3774,3106,2556,867,1321
27,4,32730,19175,10269,3286,5337,3397,1218,3503,4396,3726,3112,2542,822,1391
28,4,33009,19538,10207,3264,5406,3502,1141,3578,4539,3721,3096,2513,834,1415
29,4,32641,19049,10332,3260,5321,3338,1245,3551,4365,3735,3058,2474,853,1441
30,4,32834,19250,10177,3407,5328,3347,1247,3608,4465,3724,2987,2502,824,1395
1,5,31308,18181,9235,3892,5229,3169,997,3105,4174,3393,2942,2504,722,1181
2,5,32788,19089,10152,3547,5414,3256,1189,3445,4469,3629,3103,2505,836,1395
3,5,33805,19712,10622,3471,5655,3409,1166,3569,4367,3919,3222,2712,856,1459
4,5,33298,19544,10337,3417,5476,3387,1225,3465,4573,3707,3134,2643,816,1455
5,5,34943,20465,10655,3823,5796,3544,1200,3771,4646,3908,3296,2708,819,1432
6,5,33535,19459,10608,3468,5391,3408,1244,3499,4515,3859,3201,2646,816,1488
7,5,32948,19229,10330,3389,5437,3379,1242,3535,4460,3757,3101,2418,869,1361
