DAY,MONTH,BELGIUM,VLAANDEREN,WALLONIE,BRUSSELS,PROVINCIE ANTWERPEN,PROVINCIE VLAAMS BRABANT,PROVINCE BRABANT WALLON,PROVINCIE WEST VLAANDEREN,PROVINCIE OOST VLAANDEREN,PROVINCE HAINAUT,PROVINCE LIEGE,PROVINCIE LIMBURG,PROVINCE LUXEMBOURG,PROVINCE NAMUR
16,10,30491,17472,9784,3235,4939,3032,1061,3234,3988,3701,2862,2279,739,1421
17,10,29848,17106,9681,3061,4677,3121,1131,3141,3940,3544,3006,2227,684,1316
18,10,30081,17289,9587,3205,4850,2993,1120,3114,3947,3520,2899,2385,717,1331
19,10,30132,17282,9813,3037,4850,3036,1104,3095,4024,3725,2848,2277,749,1387
20,10,31759,18173,10107,3479,5183,3144,1128,3183,4248,3631,3170,2415,784,1394
21,10,30576,17625,9767,3184,4901,3102,1110,3127,4135,3545,3004,2360,754,1354
22,10,30291,17452,9703,3136,4913,3147,1048,3146,3916,3529,2957,2330,756,1413
23,10,30174,17472,9636,3066,5043,3038,1058,3135,4001,3555,2939,2255,723,1361
24,10,30167,17344,9697,3126,4931,3034,1111,3211,3929,3512,2960,2239,766,1348
25,10,31121,17801,10031,3289,5109,3177,1037,3138,4094,3744,3094,2283,807,1349
26,10,30492,17475,9870,3147,4905,3102,1102,3168,3980,3675,2961,2320,769,1363
27,10,30885,17773,10003,3109,4999,3129,1119,3218,4067,3739,3018,2360,749,1378
28,10,31052,17856,9907,3289,4937,3237,1100,3300,4146,3736,2904,2236,790,1377
29,10,30065,17332,9596,3137,4887,3098,1050,3129,3958,3564,2903,2260,776,1303
30,10,30447,17532,9780,3135,4925,3073,1117,3161,4022,3630,2937,2351,770,1326
31,10,29566,17171,9395,3000,4746,3075,1037,3151,3988,3498,2791,2211,752,1317
1,11,26250,15091,7991,3168,4322,2680,891,2581,3450,2960,2494,2058,606,1040
2,11,28263,16174,8972,3117,4623,2844,1001,2874,3662,3458,2651,2171,715,1147
3,11,29877,17247,9497,3133,4917,2980,1011,3088,3950,3559,2848,2312,760,1319
4,11,30107,17279,9671,3157,4824,3022,1086,3148,4053,3616,2894,2232,772,1303
5,11,30341,17559,9671,3111,5014,3129,1069,3075,4023,3561,2951,2318,781,1309
6,11,30236,17385,9738,3113,4924,3026,1123,3139,4085,3636,2884,2211,791,1304
7,11,30759,17503,9973,3283,5018,3086,1163,3137,3931,3744,2938,2331,773,1355
8,11,30587,17579,9864,3144,4902,3143,1071,3178,4060,3667,2986,2296,815,1325
9,11,30526,17527,9858,3141,5017,3067,1131,3175,4029,3736,2872,2239,737,1382
10,11,32013,18262,10171,3580,5156,3254,1118,3147,4327,3790,3081,2378,809,1373
11,11,26687,15171,8450,3066,4158,2791,976,2740,3468,3088,2529,2014,698,1159
12,11,30341,17360,9768,3213,4951,3037,1127,3156,3937,3592,2941,2279,785,1323
13,11,30179,17232,9881,3066,4863,3022,1126,3173,3888,3685,2941,2286,794,1335
14,11,30412,17318,9949,3145,4785,3103,1149,3119,4048,3725,2951,2263,781,1343
15,11,31412,18005,9972,3435,5145,3238,1091,3139,4181,3708,2990,2302,790,1393
16,11,30393,17317,9900,3176,4858,2997,1082,3154,4054,3764,2928,2254,814,1312
17,11,30165,17391,9773,3001,4822,3065,1091,3122,4100,3598,2927,2282,773,1384
18,11,30205,17246,9724,3235,4804,3075,1135,3110,4007,3570,2966,2250,779,1274
19,11,29999,17155,9783,3061,4921,2985,1089,3027,3998,3694,2851,2224,801,1348
20,11,30806,17555,9793,3458,5024,3050,1070,3075,4017,3561,3004,2389,821,1337
21,11,29752,17023,9662,3067,4754,2999,1113,3153,3911,3639,2833,2206,780,1297
22,11,29952,17318,9519,3115,4942,3018,1145,3189,3962,3486,2859,2207,755,1274
23,11,29771,17069,9528,3174,4783,2943,1077,3098,3991,3550,2927,2254,736,1238
24,11,29607,17023,9455,3129,4891,3040,1037,3002,3849,3524,2823,2241,760,1311
25,11,30289,17243,9757,3289,4841,3126,1046,2991,4055,3653,2942,2230,765,1351
26,11,29519,16830,9688,3001,4670,3047,1027,3019,3870,3594,2927,2224,783,1357
27,11,29496,16787,9657,3052,4791,2983,1064,2993,3878,3593,2887,2142,772,1341
28,11,29597,16974,9527,3096,4742,2988,1074,3024,3988,3550,2801,2232,768,1334
29,11,29177,16775,9370,3032,4667,2908,1028,3056,3876,3487,2705,2268,774,1376
30,11,30027,17316,9547,3164,4867,3017,1039,3179,4036,3468,2911,2217,800,1329
1,12,31833,18154,10018,3661,5250,3176,1078,3209,4186,3793,3015,2333,805,1327
2,12,30059,17178,9645,3236,4876,3025,1066,3068,3946,3609,2848,2263,768,1354
3,12,29581,17055,9412,3114,4774,3012,1046,3012,4006,3471,2913,2251,718,1264
4,12,29673,17014,9508,3151,4824,3087,1062,2992,3879,3515,2746,2232,771,1414
5,12,29860,17143,9462,3255,4895,2960,1078,3053,3989,3603,2782,2246,738,1261
6,12,29687,16992,9622,3073,4869,2936,1065,3127,3932,3596,2868,2128,790,1303
7,12,29472,16812,9571,3089,4725,2977,1058,3001,3907,3508,2937,2202,745,1323
8,12,30048,17269,9762,3017,4861,3039,1100,3135,3953,3614,2941,2281,768,1339
9,12,29827,17039,9725,3063,4869,3020,1102,3046,3882,3579,2870,2222,802,1372
10,12,31339,17824,10022,3493,5053,3112,1096,3195,4111,3686,3129,2353,782,1329
11,12,29780,17173,9523,3084,4775,3091,1052,3134,3961,3579,2855,2212,792,1245
12,12,31556,17866,10230,3460,5106,3114,1125,3181,4123,3736,3149,2342,805,1415
13,12,29553,16718,9741,3094,4613,2983,1092,2958,3939,3644,2938,2225,737,1330
14,12,30397,17438,9910,3049,4949,3056,1109,3120,3993,3722,2981,2320,785,1313
15,12,31888,18117,10320,3451,5095,3187,1132,3172,4197,3856,3153,2466,789,1390
16,12,31226,17702,10210,3314,5029,3081,1132,3220,4095,3828,3080,2277,831,1339
17,12,30875,17715,10075,3085,4904,3109,1133,3231,4170,3754,3045,2301,794,1349
18,12,31338,17842,10174,3322,5073,3207,1063,3209,4089,3793,3056,2264,812,1450
19,12,31099,17895,10040,3164,5042,3116,1104,3211,4147,3771,2994,2379,807,1364
20,12,32710,18510,10664,3536,5293,3216,1131,3325,4317,3970,3258,2359,880,1425
21,12,30842,17832,9855,3155,4995,3066,1128,3311,4143,3614,2945,2317,780,1388
22,12,31147,17981,9970,3196,5063,3137,1082,3236,4207,3793,2918,2338,777,1400
23,12,31237,18246,9814,3177,5233,3204,1082,3245,4185,3646,2936,2379,803,1347
24,12,28139,16140,8820,3179,4580,2906,965,2871,3712,3307,2659,2071,715,1174
25,12,26250,15139,7957,3154,4265,2743,835,2691,3461,3010,2442,1979,626,1044
26,12,28414,15863,9467,3084,4456,2823,1017,2858,3720,3555,2866,2006,692,1337
27,12,31474,18027,10235,3212,5089,3174,1207,3252,4200,3835,3086,2312,727,1380
28,12,31245,17624,10262,3359,5038,3075,1149,3155,4109,3785,3072,2247,844,1412
29,12,30814,17807,9884,3123,4956,3105,1124,3216,4225,3679,2925,2305,796,1360
30,12,31135,17938,9969,3228,5065,3247,1138,3203,4153,3584,3045,2270,846,1356
31,12,30614,17551,9353,3710,5123,2944,1004,3168,4128,3351,2908,2188,790,1300
