                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
335                                     Bethany College   190400       4        959.0    0.407     0.699         0.993    608.0     3917.0               0.88            11350.5       57710.76   
336                            Emporia State University   192700       4       1030.0    0.392     0.628         0.870   4198.0     6352.0        0.826719577              12666       56675.47   
337                                  Friends University   191800       4       1014.0    0.409     0.698         0.585   2668.0     6709.0        0.759206799              20250       60343.56   
338                                University of Kansas   194800       4       1145.0    0.229     0.451         0.935  19698.0     9819.0         0.83886689              14424       70891.42   
339                                   Newman University   193900       4       1095.0    0.161     0.244         0.563   1557.0     6079.0        0.785714286              15250       62008.99   
340                          Kansas Wesleyan University   192900       4       1020.0    0.426     0.787         0.616    697.0     5734.0        0.663755459            14857.5       54592.99   
341                         Manhattan Christian College   193100       4       1025.0    0.399     0.775         0.822    406.0     5283.0  PrivacySuppressed              10500       58385.25   
342                                   McPherson College   193300       4        940.0    0.420     0.758         0.727    463.0     5720.0        0.777777778              15750       59250.54   
343                      MidAmerica Nazarene University   703200       4       1015.0    0.383     0.667         0.614   1302.0     6292.0        0.790432802              15000       69737.68   
344                            University of Saint Mary   194300       4        978.0    0.325     0.502         0.490    510.0     5717.0        0.785340314              17000       62613.14   
345                                Southwestern College   194000       4        999.0    0.374     0.478         0.912   1114.0     5296.0        0.759656652              18338       58156.66   
346                                    Sterling College   194500       4        990.0    0.460     0.765         0.414    440.0     4627.0        0.803030303            13516.5       58015.54   
347                                       Tabor College   194600       4       1007.0    0.339     0.735         0.554    572.0     4534.0        0.862068966              14750       57538.37   
348                            Wichita State University   195000       4       1089.0    0.361     0.510         0.947  11377.0     7644.0        0.774827403              13750       60078.99   
349                                 Alice Lloyd College   195100       5       1006.0    0.549     0.591         0.351    557.0     4729.0        0.721311475               7550       31403.34   
350                                   Asbury University   195200       5       1101.0    0.328     0.598         0.569   1338.0     6328.0        0.851190476              19000       61842.48   
351                               Bellarmine University   195400       5       1120.0    0.248     0.628         0.839   2347.0     7799.0        0.875984252              19000       65601.28   
352                                       Berea College   195500       5       1117.0    0.833     0.213         0.365   1590.0     7633.0         0.76446281               4830       47532.74   
353                                  Brescia University   195800       5       1003.0    0.570     0.773         0.479    688.0     5246.0        0.764705882              16111       50402.08   
354                           Campbellsville University   195900       5        986.0    0.426     0.524         0.756   1500.0     5036.0        0.786516854              10500       47586.61   
355                                      Centre College   196100       5       1279.0    0.145     0.445         0.712   1055.0     8068.0        0.896825397              25000       64052.84   
356                       University of the Cumberlands   196200       5       1022.0    0.399     0.469         0.683   1554.0     5054.0         0.78807947               8250       44968.88   
357                         Eastern Kentucky University   196300       5       1028.0    0.434     0.580         0.706  13285.0     7122.0        0.744689221              13750       47617.36   
358                                  Georgetown College   196400       5       1045.0    0.369     0.754         0.677   1365.0     6285.0         0.88671875              19500       56937.11   
359                           Kentucky State University   196800       5        931.0    0.640     0.693         0.379   2129.0     6382.0        0.514950166              16000       51636.62   
360                           Kentucky Wesleyan College   196900       5       1048.0    0.505     0.670         0.642    680.0     5179.0        0.833333333              12000       52095.32   
361                              University of Kentucky   198900       5       1143.0    0.248     0.449         0.891  16897.0    10099.0        0.801016419              15000       59287.73   
362                       Kentucky Christian University   196500       5        977.0    0.468     0.767         0.363    569.0     4919.0        0.837398374              13250       53919.37   
363                            University of Louisville   199900       5       1159.0    0.289     0.409         0.717  14464.0     9361.0        0.799451805              12500       59042.66   
364                           Morehead State University   197600       5       1047.0    0.377     0.500         0.854   6747.0     6810.0        0.629824561              14585       42103.85   
365                             Murray State University   197700       5       1069.0    0.330     0.471         0.906   7487.0     7106.0        0.798301486              14000       48948.11   
366                        Northern Kentucky University   927500       5       1068.0    0.334     0.514         0.919  10838.0     7565.0        0.774271845              15000       63568.77   
367                             University of Pikeville   198000       5        965.0    0.447     0.482         1.000    917.0     5879.0        0.735099338              11100       35782.96   
368                                 Spalding University   196000       5        970.0    0.447     0.633         0.501   1098.0     6942.0        0.619047619              18000       55916.29   
369                                 Thomas More College   200100       5       1016.0    0.290     0.594         0.883   1272.0     6204.0        0.783050848              19000       64733.74   
370                                       Union College   198800       5        970.0    0.533     0.737         0.692    638.0     4616.0        0.733333333              12000       38949.24   
371                         Western Kentucky University   200200       5       1047.0    0.354     0.491         0.927  13235.0     7129.0        0.753834643              15000       50387.75   
372                      Centenary College of Louisiana   200300       5       1114.0    0.345     0.604         0.671    858.0     6228.0        0.713114754              19500       58549.24   
373                                  Dillard University   200400       5        888.0    0.772     0.900         0.476   1953.0     6262.0        0.538011696              26000       51069.58   
374                          Grambling State University   200600       5        871.0    0.813     0.891         0.382   4289.0     6109.0        0.468831169              23385       44602.47   
375               Louisiana State University-Alexandria   201100       5        950.0    0.420     0.425         0.678   2386.0     5455.0        0.588607595               7750       39416.07   
376   Louisiana State University and Agricultural & ...   201000       5       1163.0    0.203     0.297         0.773  26121.0     9447.0        0.802155992              14000       57504.74   
377               Louisiana State University-Shreveport   201300       5       1029.0    0.357     0.356         0.755   3422.0     6237.0        0.639112903              11500       47946.96   
378                                   Louisiana College   200700       5        969.0    0.421     0.592         0.694   1125.0     5696.0        0.767441861              11500       46322.14   
379                           Louisiana Tech University   200800       5       1105.0    0.215     0.298         0.638   8921.0     7420.0        0.779436153              12500       46738.12   
380                       Loyola University New Orleans   201600       5       1134.0    0.310     0.724         0.903   3688.0     8342.0        0.834661355              20500       67759.61   
381                            McNeese State University   201700       5       1029.0    0.349     0.390         0.820   6703.0     6608.0        0.758576874              10500       47295.56   
382                           University of New Orleans   201500       5       1034.0    0.325     0.329         0.577  12260.0     7591.0        0.719183674              10500       51940.24   
383                           Nicholls State University   200500       5       1030.0    0.379     0.493         0.902   6556.0     5798.0        0.748344371              11000       49304.74   
384                   University of Louisiana at Monroe   202000       5       1054.0    0.345     0.389         0.876   8033.0     7120.0        0.769425676              11250       43063.22   
385          Northwestern State University of Louisiana   202100       5       1008.0    0.400     0.486         0.840   8270.0     6197.0        0.684632192            12946.5       43125.41   
386                        Our Lady of the Lake College  3106200       5       1010.0    0.334     0.614         0.527   1053.0     6628.0        0.731012658              15796       54007.12   
387                   Southeastern Louisiana University   202400       5       1030.0    0.336     0.389         0.880  12916.0     6267.0        0.714213963              10000       53084.32   
388               Southern University and A & M College   202500       5        911.0    0.678     0.801         0.786   7769.0     6355.0        0.463732681              16185       45854.37   
389                  Southern University at New Orleans   202600       5        803.0    0.745     0.945         0.214   3573.0     3952.0        0.323076923              12500       43920.92   
390                University of Louisiana at Lafayette   203100       5       1069.0    0.320     0.354         0.553  14091.0     8105.0        0.764080765              12000       47090.80   
391                      Tulane University of Louisiana   202900       5       1346.0    0.152     0.360         0.305   7353.0    10993.0        0.834070797              21954       69803.28   
392                      Xavier University of Louisiana   203200       5       1050.0    0.533     0.672         0.658   3284.0     8372.0        0.679558011              16250       55657.89   
393                                       Colby College   203900       1       1363.0    0.113     0.237         0.225   1814.0    11758.0        0.940520446              18939       80130.48   
394                    University of Maine at Fort Kent   204100       1        885.0    0.324     0.403         0.893    886.0     6729.0        0.829787234              12500       44056.60   
395                                 University of Maine   205300       1       1090.0    0.330     0.632         0.912   8220.0     9128.0        0.883272538              17500       54908.38   
396                              Maine Maritime Academy   204400       1       1050.0    0.294     0.801         0.651    710.0     7288.0  PrivacySuppressed              27000       56725.03   
397                           University of New England   205000       1       1070.0    0.195     0.654         0.851   1222.0     8077.0        0.877876106              21500       64934.40   
398                     Saint Joseph's College of Maine   205100       1        989.0    0.221     0.537         0.776   3322.0     6024.0        0.871165644            12018.5       63952.22   
399                        University of Southern Maine   205400       1        984.0    0.367     0.543         0.878   8726.0     8703.0        0.856007067              15042       58065.50   
400                             University of Baltimore   210200       2        972.0    0.443     0.557         0.527   2016.0    10575.0        0.707129094              15000       65721.01   
401                              Bowie State University   206200       2        883.0    0.522     0.677         0.575   3109.0     8339.0        0.460829493              16000       77046.60   
402                       Capitol Technology University   143600       2       1023.0    0.343     0.554         0.975    684.0     7177.0  PrivacySuppressed              19546       73053.75   
403                     Washington Adventist University   206700       2        821.0    0.518     0.704         0.331   1030.0     5462.0  PrivacySuppressed              25000       69837.96   
404                             Coppin State University   206800       2        888.0    0.622     0.689         0.372   3092.0     7395.0        0.486111111              14000       54222.17   
405                          Frostburg State University   207200       2        955.0    0.363     0.588         0.635   4430.0     7099.0        0.785632839            14317.5       70221.41   
406                            Johns Hopkins University   207700       2       1453.0    0.123     0.374         0.141   5278.0    10951.0        0.857278782              14500       81539.46   
407             University of Maryland-Baltimore County   210500       2       1209.0    0.277     0.417         0.594   9101.0     9816.0        0.852968037              16250       83010.29   
408                 University of Maryland-College Park   210300       2       1315.0    0.194     0.344         0.449  24638.0    12375.0        0.884943182            16507.5       90010.73   
409                   Maryland Institute College of Art   208000       2       1140.0    0.232     0.562         0.474   1588.0     8068.0        0.844978166              23250       80395.11   
410                University of Maryland Eastern Shore   210600       2        834.0    0.543     0.539         0.491   2969.0     7856.0        0.462566845              15000       66039.83   
411                             Morgan State University   208300       2        878.0    0.620     0.802         0.667   5685.0     8826.0         0.41397154              21672       63566.62   
412                          Mount St Mary's University   208600       2       1013.0    0.203     0.607         0.672   1500.0     7334.0        0.907035176            18710.5       81781.05   
413                   Notre Dame of Maryland University   206500       2       1087.0    0.301     0.471         0.519   1930.0     7387.0        0.710601719              20000       70799.46   
414                       St Mary's College of Maryland   209500       2       1145.0    0.176     0.639         0.788   1547.0     7147.0        0.903896104              17500       85886.58   
415                                   Towson University   209900       2       1081.0    0.265     0.474         0.734  13905.0     7232.0        0.809727243              14750       80470.71   
416                                Stevenson University   210700       2       1006.0    0.317     0.626         0.597   2185.0     8356.0        0.859050445              20609       74334.54   
417                                    McDaniel College   210900       2       1074.0    0.311     0.671         0.798   1610.0     7185.0         0.82278481              21250       83552.93   
418                      American International College   211400       1        887.0    0.519     0.847         0.632   1102.0     6409.0        0.681093394              19275       62232.99   
419                                     Amherst College   211500       1       1451.0    0.225     0.157         0.141   1695.0    12444.0        0.897727273              10500       82187.65   
420                                      Babson College   212100       1       1317.0    0.163     0.363         0.263   1751.0    15310.0        0.963963964              25000       82978.89   
421                              Boston Baptist College  3248300       1        943.0    0.442     0.570         0.923    108.0     4286.0  PrivacySuppressed              14999       68167.52   
422                                      Becker College   212300       1       1009.0    0.392     0.827         0.669   1166.0     7731.0        0.825242718              17753       68777.13   
423                                  Bentley University   212400       1       1244.0    0.156     0.486         0.423   4316.0    12843.0        0.970588235              25500       82419.50   
424                                      Boston College   212800       1       1380.0    0.125     0.376         0.285   9764.0    14211.0        0.954545455              19000       83893.95   
425                                   Boston University   213000       1       1303.0    0.132     0.378         0.326  17819.0    12920.0        0.849162011              24500       83140.68   
426                                 Brandeis University   213300       1       1360.0    0.196     0.476         0.340   3282.0    12654.0        0.883050848              26207       85221.28   
427                        Bridgewater State University   218300       1        996.0    0.369     0.694         0.807   7080.0     8859.0        0.770719903              18500       75059.92   
428                                       Curry College   214300       1        941.0    0.255     0.636         0.877   2218.0     9564.0        0.833587786              19000       77762.42   
429                            Eastern Nazarene College   214500       1        978.0    0.498     0.602         0.613   1203.0     5700.0            0.83125              16000       69305.79   
430                                     Emerson College   214600       1       1211.0    0.164     0.574         0.490   3168.0     9694.0        0.870221328              22313       80699.66   
431                          Fitchburg State University   218400       1        993.0    0.385     0.713         0.748   3238.0     8777.0        0.792682927              15000       71253.32   
432                         Framingham State University   218500       1        975.0    0.318     0.651         0.708   4042.0     8464.0        0.909233177            16947.5       80769.61   
433                                      Gordon College   215300       1       1112.0    0.220     0.694         0.932   1528.0     6869.0        0.927648579              23250       80002.32   
434                                  Harvard University   215500       1       1497.0    0.117     0.051         0.056   9884.0    20072.0        0.768060837               7000       76879.55   
435                                      Lasell College   215800       1        966.0    0.328     0.798         0.781    841.0     7786.0        0.856287425              23250       77012.29   
436                                   Lesley University   216000       1       1066.0    0.264     0.648         0.671   1763.0     7844.0        0.816608997              18500       73324.38   
437                  University of Massachusetts-Lowell   216100       1       1197.0    0.281     0.569         0.568   9543.0    11486.0        0.821626617            17699.5       76546.63   
438                 University of Massachusetts-Amherst   222100       1       1226.0    0.237     0.593         0.583  19061.0    11921.0        0.863936291              21500       78424.73   
439                  University of Massachusetts-Boston   222200       1       1055.0    0.418     0.547         0.691  10442.0    10470.0        0.761220826            16331.5       68463.25   
440                                    MCPHS University   216500       1       1070.0    0.296     0.744         0.866   1427.0     8909.0        0.936868687              25000       72630.13   
441             Massachusetts College of Art and Design   218000       1       1086.0    0.271     0.550         0.713   2221.0     9882.0        0.736842105              21989       75629.56   
442               Massachusetts Institute of Technology   217800       1       1507.0    0.179     0.183         0.083   4258.0    16830.0        0.949640288              15250       77426.30   
443                      Massachusetts Maritime Academy   218100       1       1065.0    0.187     0.769         0.739    830.0     8579.0  PrivacySuppressed              23250       77684.66   
444                                   Mount Ida College   219300       1        906.0    0.373     0.764         0.633   1196.0     5355.0        0.815789474            15219.5       73378.33   
445               Massachusetts College of Liberal Arts   218700       1       1016.0    0.465     0.868         0.734   1387.0     8632.0        0.785074627              18000       64342.86   
446                             Northeastern University   219900       1       1435.0    0.124     0.409         0.285  19588.0    12159.0        0.906182796              25000       80190.89   
447                     College of Our Lady of the Elms   214000       1        976.0    0.434     0.770         0.749    641.0     6966.0        0.770700637              23000       59687.78   
448                                  Pine Manor College   220100       1        775.0    0.524     0.601         0.709    370.0     6174.0              0.625               9500       58088.78   
449                                     Simmons College   220800       1       1163.0    0.251     0.716         0.576   1186.0     7921.0        0.894890511              25000       77652.59   
450                                 Springfield College   221100       1       1042.0    0.232     0.803         0.642   3371.0     8157.0         0.69661017            20467.5       64281.13   
451               University of Massachusetts-Dartmouth   221000       1       1025.0    0.397     0.731         0.763   6423.0     9481.0        0.840342679              18361       72067.31   
452                                  Suffolk University   221800       1       1024.0    0.294     0.557         0.824   3438.0     8753.0        0.796839729              21500       76214.79   
453                                    Tufts University   221900       1       1424.0    0.120     0.278         0.161   4886.0    11533.0        0.962043796              16500       82793.69   
454                                   Wellesley College   222400       1       1369.0    0.194     0.331         0.299   2287.0    11712.0        0.944827586               8600       81018.79   
455                   Wentworth Institute of Technology   222500       1       1104.0    0.264     0.670         0.667   3187.0     8207.0        0.925357873              23481       76699.80   
456                      Western New England University   222600       1       1080.0    0.295     0.744         0.809   3136.0     9221.0        0.882275132              21500       76363.81   
457                          Westfield State University   218900       1       1001.0    0.275     0.644         0.796   4276.0     8910.0        0.865123703              15000       72419.11   
458                                    Wheelock College   222800       1        944.0    0.379     0.803         0.954    636.0     7125.0        0.797235023              21500       76696.63   
459                                    Williams College   222900       1       1442.0    0.180     0.270         0.176   2020.0     8923.0        0.915254237              14000       77966.20   
460                          Worcester State University   219000       1       1020.0    0.301     0.547         0.686   4569.0     8783.0        0.843037975              13845       68531.82   
461                                      Adrian College   223400       3       1008.0    0.414     0.878         0.610   1081.0     7789.0        0.795275591              19500       66915.10   
462                                      Albion College   223500       3       1104.0    0.274     0.635         0.798   1525.0     7346.0        0.867647059              24000       71425.70   
463                                        Alma College   223600       3       1110.0    0.304     0.901         0.676   1409.0     7319.0        0.869731801              23875       61676.21   
464                                  Andrews University   223800       3       1091.0    0.273     0.453         0.392   1736.0     4904.0        0.640410959              23000       63096.48   
465                                     Aquinas College   223900       3       1090.0    0.325     0.643         0.724   2021.0     6047.0  PrivacySuppressed              19500       64829.33   
466                                      Calvin College   224100       3       1202.0    0.226     0.530         0.743   4263.0     8258.0        0.898876405            21948.5       70660.49   
467                         Central Michigan University   224300       3       1049.0    0.354     0.725         0.687  18620.0     8462.0        0.724523507              21500       66048.20   
468                                   Cleary University   224600       3        950.0    0.467     0.893         0.723    337.0     5988.0               0.69              14375       81153.11   
469                      Concordia University-Ann Arbor   384256       3       1052.0    0.358     0.720         0.675    590.0     4449.0        0.759322034              15015       70459.21   
470                        College for Creative Studies   677100       3       1070.0    0.341     0.634         0.496   1086.0     7165.0        0.751445087              21500       74293.04   
471                         University of Detroit Mercy   232300       3       1122.0    0.292     0.622         0.729   3830.0     8681.0        0.780838323              20500       64142.33   
472                         Eastern Michigan University   225900       3       1029.0    0.439     0.719         0.748  18189.0     9227.0          0.7138863              18250       69989.00   
473                             Ferris State University   226000       3       1009.0    0.401     0.628         0.782   9235.0     8434.0        0.773632742              17250       61040.62   
474                                Kettering University   226200       3       1204.0    0.246     0.759         0.701   2632.0     7966.0  PrivacySuppressed              23000       70813.57   
475                              Cornerstone University   226600       3       1033.0    0.404     0.703         0.730   1592.0     5861.0        0.773722628            18467.5       63718.46   
476                       Grand Valley State University   226800       3       1090.0    0.347     0.631         0.811  15211.0     8254.0        0.771276596            19220.5       67198.25   
477                                        Hope College   227300       3       1205.0    0.205     0.553         0.720   3015.0     8053.0        0.871575343              24841       72371.25   
478                      Lake Superior State University   229300       3       1027.0    0.391     0.568         0.919   3068.0     6460.0        0.752783964              13750       53637.55   
479                   Lawrence Technological University   227900       3       1156.0    0.173     0.303         0.553   2975.0     7631.0        0.856777494              19500       73119.88   
480                                  Madonna University   228200       3       1030.0    0.329     0.503         0.599   3130.0     7532.0        0.672131148              21000       72787.10   
481                                   Marygrove College   228400       3        780.0    0.694     0.831         0.575    914.0     6730.0          0.5234375            18237.5       51580.09   
482                                   Rochester College   228800       3        949.0    0.469     0.732         0.579    794.0     5647.0         0.66873065              15000       72043.03   
483                    University of Michigan-Ann Arbor   232500       3       1384.0    0.154     0.320         0.263  24412.0    10886.0        0.836720227              19250       77145.90   
484                           Michigan State University   229000       3       1159.0    0.221     0.450         0.663  34342.0    11164.0        0.844480476              22150       72140.18   
485                   Michigan Technological University   229200       3       1207.0    0.252     0.576         0.754   5666.0     9815.0        0.932220039            19986.5       61737.20   
486                     University of Michigan-Dearborn   232600       3       1105.0    0.440     0.657         0.623   6615.0     9040.0        0.651643193              18750       67620.59   
487                        University of Michigan-Flint   232700       3        992.0    0.420     0.703         0.736   5786.0     8143.0        0.571559633              18750       64807.70   
488                        Northern Michigan University   230100       3       1011.0    0.374     0.619         0.699   7575.0     7748.0        0.738230729              14864       57050.02   
489                                Northwood University   407200       3       1026.0    0.413     0.826         0.694   3657.0     7299.0        0.698630137            18494.5       64809.96   
490                                  Oakland University   230700       3       1070.0    0.317     0.531         0.804  12002.0     8963.0        0.708209693              18271       78696.54   
491                                      Olivet College   230800       3        931.0    0.491     0.857         0.569    977.0     5819.0        0.738197425            19856.5       62696.44   
492                                      Kuyper College   231100       3       1010.0    0.414     0.690         0.712     51.0     5239.0        0.841269841              16855       68721.86   
493                     Saginaw Valley State University   231400       3       1030.0    0.409     0.737         0.761   7059.0     7691.0        0.704560926            17452.5       57827.75   
494                            Siena Heights University   231600       3       1027.0    0.396     0.649         0.775   1713.0     5851.0        0.674193548              15000       63208.96   
495                             Spring Arbor University   231800       3       1073.0    0.448     0.747         0.689   2125.0     5191.0         0.76344086              20150       61521.97   
496                                Finlandia University   232200       3        886.0    0.527     0.747         0.459    383.0     5093.0        0.782894737              11335       47498.69   
497                              Wayne State University   232900       3       1070.0    0.465     0.568         0.799  18093.0     9961.0         0.69525066              15750       61912.62   
498                         Western Michigan University   233000       3       1030.0    0.383     0.665         0.824  22756.0     9317.0        0.743705463              20000       69141.32   
499                                    Augsburg College   233400       4       1032.0    0.400     0.677         0.592   2913.0     7424.0        0.881773399              21500       72224.74   
500                            Bemidji State University   233600       4       1010.0    0.338     0.598         0.938   3889.0     8273.0        0.801265823              13000       55158.96   
501                            Bethany Lutheran College   233700       4       1074.0    0.394     0.718         0.853    440.0     6495.0        0.908333333              16372       62776.68   
502                                   Bethel University   905800       4       1127.0    0.257     0.664         0.949   2652.0     7495.0        0.941414141              19500       77038.37   
503                                    Carleton College   234000       4       1400.0    0.131     0.471         0.206   1936.0    11575.0        0.943573668              18730       71070.84   
504                               Martin Luther College   236100       4       1145.0    0.352     0.595         0.779   1026.0     4468.0  PrivacySuppressed              16500       64939.16   
505                                  Hamline University   235400       4       1127.0    0.362     0.697         0.724   1851.0     6210.0        0.854809437            18270.5       70958.04   
506                                  Macalester College   235800       4       1358.0    0.166     0.443         0.390   1794.0     9658.0        0.929648241              21000       71692.75   
507                  Minnesota State University-Mankato   236000       4       1030.0    0.282     0.582         0.666  11165.0     8892.0        0.917948718              15000       66314.89   
508                 University of Minnesota-Twin Cities   396900       4       1285.0    0.203     0.423         0.443  31824.0    11258.0         0.85026738              17390       70741.62   
509                   University of Minnesota-Crookston   406900       4       1026.0    0.220     0.402         0.768   2775.0     7009.0        0.858299595              13000       55080.02   
510               Minneapolis College of Art and Design   236500       4       1096.0    0.369     0.841         0.660    580.0     6759.0        0.831858407              20500       70094.27   
511                      University of Minnesota-Duluth   238800       4       1109.0    0.234     0.571         0.760   8400.0     7969.0         0.88128106              17325       68076.22   
512                      University of Minnesota-Morris   238900       4       1146.0    0.281     0.495         0.598   1842.0     7003.0        0.870748299              12750       63548.87   
513                 Minnesota State University Moorhead   236700       4       1049.0    0.303     0.616         0.773   7044.0     8412.0        0.827852998            16671.5       54641.42   
514                            North Central University   236900       4       1024.0    0.405     0.683         0.535   1168.0     6670.0        0.865979381              19422       65000.36   
515                  University of Northwestern-St Paul   237100       4       1102.0    0.222     0.434         0.868   2081.0     6128.0        0.931484502              18500       70065.41   
516                         Oak Hills Christian College   999200       4        930.0    0.589     0.674         0.291    150.0     4142.0        0.732142857              11000       53222.25   
517                           College of Saint Benedict   234100       4       1118.0    0.240     0.648         0.741   2024.0     8226.0        0.974048443              23250       70918.96   
518                        Saint Cloud State University   237700       4       1030.0    0.295     0.466         0.862  13949.0     8912.0        0.894056848              14000       66422.48   
519                              Saint Johns University   237900       4       1148.0    0.192     0.637         0.741   1880.0     8130.0        0.962765957              24159       71469.52   
520                Saint Mary's University of Minnesota   238000       4       1046.0    0.252     0.580         0.776   1693.0     6649.0              0.875              16570       70833.22   
521                                     St Olaf College   238200       4       1282.0    0.150     0.491         0.360   3014.0     8685.0        0.923809524              26000       75732.77   
522                                       Crown College   238300       4       1019.0    0.494     0.733         0.529    882.0     5084.0        0.876404494              14250       68899.21   
523                    The College of Saint Scholastica   234300       4       1067.0    0.316     0.674         0.615   1499.0     6866.0        0.900641026              18196       60287.14   
524                             University of St Thomas   234500       4       1202.0    0.181     0.546         0.840   5469.0     9985.0        0.938461539              21500       76939.14   
525                             St Catherine University   234200       4       1032.0    0.386     0.736         0.674   3555.0     7006.0         0.82924614            22554.5       71786.79   
526                Southwest Minnesota State University   237500       4       1008.0    0.131     0.235         0.640   4148.0     8766.0        0.898876405              13500       56697.45   
527                             Winona State University   239400       4       1050.0    0.263     0.632         0.625   6772.0     8270.0        0.916380298              17500       68678.30   
528                             Alcorn State University   239600       5        871.0    0.766     0.818         0.806   2398.0     6639.0        0.473484849              19000       38329.94   
529                               Blue Mountain College   239800       5        990.0    0.498     0.590         0.992    371.0     4900.0        0.727272727              12000       44968.64   
530                              Delta State University   240300       5        970.0    0.426     0.560         0.870   3356.0     6312.0            0.70625              11250       39124.62   
531                            Jackson State University   241000       5        910.0    0.663     0.747         0.675   5471.0     6940.0                0.5              19000       43401.54   
532                                    Millsaps College   241400       5       1163.0    0.213     0.551         0.526   1193.0     7563.0        0.790697674              19500       56763.17   
533                           University of Mississippi   244000       5       1118.0    0.266     0.442         0.787   9608.0     8996.0        0.781808891              15000       53374.26   
534                    Mississippi University for Women   242200       5       1012.0    0.483     0.592         0.961   2660.0     6209.0        0.658256881              12500       43147.25   
535                 Mississippi Valley State University   242400       5        850.0    0.718     0.816         0.757   2358.0     5824.0        0.493506494              17000       34674.56   
536                                 Mississippi College   241500       5       1106.0    0.335     0.541         0.825   2440.0     7343.0        0.737012987              16750       52824.92   
537                        Mississippi State University   242300       5       1140.0    0.326     0.491         0.652  13307.0     8371.0        0.814939759              15000       46465.50   
538                                        Rust College   243300       5        780.0    0.894     0.900         0.415    853.0     4757.0        0.491525424              11089       41256.82   
539                  University of Southern Mississippi   244100       5       1049.0    0.485     0.627         0.580  12143.0     7573.0        0.742366412            15586.5       46990.98   
540                                    Tougaloo College   243900       5        844.0    0.933     0.861         0.391   1000.0     4683.0         0.57037037              21380       44758.77   
541                            William Carey University   244700       5       1071.0    0.645     0.700         0.569   1715.0     5180.0        0.625242718              15000       45401.66   
542                                    Avila University   244900       4        986.0    0.396     0.697         0.509   1123.0     6727.0        0.770226537              17760       67638.05   
543                                  Calvary University   245000       4       1010.0    0.538     0.476         0.942    224.0     3861.0  PrivacySuppressed               9750       59014.41   
544              Central Christian College of the Bible  2266400       4        985.0    0.587     0.573         0.349    133.0     4914.0               0.72               8750       57236.66   
545   Central Methodist University-College of Libera...   245300       4       1043.0    0.421     0.776         0.577   1172.0     5908.0        0.765536723              12439       49478.50   
546                      University of Central Missouri   245400       4       1010.0    0.366     0.588         0.795   9150.0     7115.0        0.754231052              15000       57730.20   
547                    Cleveland University-Kansas City  2090700       4        910.0    0.500     0.771         0.750     76.0     5304.0        0.652173913              10500       61070.83   
548                         Conception Seminary College   246700       4       1145.0    0.398     0.312         1.000     93.0     4243.0  PrivacySuppressed  PrivacySuppressed       56643.16   
549                                      Cottey College   245800       4       1049.0    0.468     0.625         0.735    311.0     6310.0        0.793103448               8250       61289.57   
550                             Culver-Stockton College   246000       4        968.0    0.472     0.772         0.559    821.0     5284.0        0.790419162              14750       52894.01   
551                                    Drury University   246100       4       1185.0    0.530     0.581         0.842   4053.0     6255.0        0.708041958              14250       45736.92   
552                                  Evangel University   246300       4       1064.0    0.480     0.940         0.615   1488.0     6937.0        0.860849057            17636.5       58696.81   
553                                Fontbonne University   246400       4       1050.0    0.332     0.657         0.968   1377.0     6260.0        0.650273224              22250       60924.15   
554                           Kansas City Art Institute   247300       4       1073.0    0.447     0.684         0.580    527.0     6054.0        0.735294118              25500       67668.37   
555                               Lindenwood University   248000       4       1043.0    0.333     0.608         0.554   3991.0     6943.0        0.771979986              18750       68730.21   
556                 Maryville University of Saint Louis   248200       4       1145.0    0.297     0.638         0.723   2573.0     7555.0        0.806509946              18750       70678.19   
557             Midwestern Baptist Theological Seminary   248500       4        983.0    0.407     0.419         0.966    110.0     5254.0  PrivacySuppressed             7004.5       63229.67   
558                         Missouri Baptist University   754000       4        961.0    0.211     0.321         0.574   2574.0     5696.0        0.762541806              15000       62761.71   
559                  Missouri Southern State University   248800       4       1030.0    0.564     0.616         0.941   5785.0     6019.0         0.74801061            10544.5       46217.00   
560                     University of Missouri-Columbia   251600       4       1203.0    0.208     0.457         0.781  18058.0     9010.0        0.820652174              17500       66484.66   
561                  University of Missouri-Kansas City   251800       4       1130.0    0.304     0.438         0.627   8091.0     8601.0        0.777083333              15000       63187.36   
562       Missouri University of Science and Technology   251700       4       1261.0    0.244     0.497         0.881   3698.0    10363.0  PrivacySuppressed            18762.5       59935.86   
563                     University of Missouri-St Louis   251900       4       1105.0    0.286     0.391         0.759  12737.0     8412.0        0.762381454            16707.5       64068.51   
564                             Truman State University   249500       4       1246.0    0.205     0.424         0.790   5812.0     6974.0        0.861952862              17593       64318.95   
565                 Northwest Missouri State University   249600       4       1047.0    0.349     0.581         0.749   5568.0     6670.0        0.779128673              14500       55791.06   
