                                                 INSTNM    OPEID  REGION  SAT_AVG_ALL  PCTPELL  PCTFLOAN  ADM_RATE_ALL       UG  AVGFACSAL   COMPL_RPY_5YR_RT           DEBT_MDN  MEDIAN_HH_INC  \
52                    California State University-Chico   114600       8       1003.0    0.435     0.452         0.634  13907.0     8733.0        0.795935648              14500       61867.44   
53                   California State University-Fresno   114700       8        897.0    0.563     0.318         0.522  15413.0     8372.0         0.76980506              12000       53295.09   
54                California State University-Fullerton   113700       8       1024.0    0.443     0.306         0.419  23385.0     8854.0        0.794912985              12500       73036.40   
55               California State University-Long Beach   113900       8       1056.0    0.505     0.379         0.338  25153.0     8839.0        0.824627748            13242.5       66954.90   
56              California State University-Los Angeles   114000       8        874.0    0.677     0.320         0.681  13476.0     8879.0             0.7425              11223       52850.08   
57               California State University-Northridge   115300       8        902.0    0.533     0.333         0.456  22553.0     8737.0        0.766814721              11000       64055.44   
58               California State University-Sacramento   115000       8        948.0    0.530     0.377         0.673  20342.0     8631.0        0.666666667              12500       65686.13   
59                    University of California-Berkeley   131200       8       1397.0    0.311     0.260         0.169  22678.0    15711.0        0.840388619              13197       77601.85   
60                       University of California-Davis   131300       8       1226.0    0.412     0.393         0.380  20388.0    13125.0         0.89010989              12757       76621.08   
61                      University of California-Irvine   131400       8       1175.0    0.460     0.423         0.387  16223.0    13773.0        0.821611002              15000       78085.65   
62                 University of California-Los Angeles   131500       8       1339.0    0.352     0.350         0.173  25011.0    16471.0        0.853698075              15000       72896.84   
63                   University of California-Riverside   131600       8       1119.0    0.568     0.538         0.556  11436.0    12265.0        0.648148148              17000       68292.12   
64                   University of California-San Diego   131700       8       1344.0    0.384     0.391         0.337  16496.0    14032.0        0.895872673              17000       76397.62   
65               University of California-Santa Barbara   132000       8       1248.0    0.381     0.403         0.326  17538.0    14327.0        0.803810868              15000       73046.19   
66                  University of California-Santa Cruz   132100       8       1201.0    0.453     0.526         0.503  11075.0    13104.0        0.804069767              17200       78075.09   
67                                   Chapman University   116400       8       1217.0    0.198     0.643         0.476   2953.0    11160.0        0.740701382              18500       73437.32   
68                          Concordia University-Irvine  2070500       8       1029.0    0.281     0.632         0.592   1184.0     6919.0        0.883408072              18000       79890.85   
69                          San Diego Christian College  1203100       8        933.0    0.544     0.896         0.517    675.0     6103.0        0.748201439            15333.5       66943.92   
70                            Claremont McKenna College   117000       8       1408.0    0.115     0.151         0.110   1003.0    13270.0  PrivacySuppressed              12495       82855.72   
71                   Dominican University of California   119600       8       1054.0    0.291     0.691         0.788    946.0     9099.0         0.80794702              25000       79219.91   
72                            Fresno Pacific University   125300       8        988.0    0.560     0.681         0.631    878.0     6641.0        0.685714286              18000       53503.12   
73                                  Harvey Mudd College   117100       8       1484.0    0.127     0.398         0.130    717.0    12984.0  PrivacySuppressed              24500       82806.61   
74                                Holy Names University   118300       8        858.0    0.486     0.837         0.430    592.0     8273.0  PrivacySuppressed              20083       72379.02   
75                            Humboldt State University   114900       8        990.0    0.535     0.547         0.770   6469.0     8579.0        0.711592837              14000       57400.36   
76                                 Life Pacific College  2270600       8        901.0    0.471     0.633         0.638    488.0     6454.0        0.787234043              13000       65850.07   
77                               University of La Verne   121600       8       1034.0    0.458     0.657         0.472   3319.0     8492.0        0.667180277              22000       67082.29   
78                                 La Sierra University   121500       8        929.0    0.520     0.689         0.446   1217.0     7339.0        0.760416667              15334       63313.83   
79                 The Master's University and Seminary   122000       8       1091.0    0.304     0.539         0.947   1118.0     5961.0        0.915322581              16000       71662.94   
80                          Loyola Marymount University  1164900       8       1222.0    0.196     0.452         0.508   2430.0    10292.0        0.877601998              19500       78631.93   
81                                        Menlo College   123600       8       1018.0    0.319     0.504         0.381    649.0    11474.0        0.758241758              15750       80580.15   
82                                        Mills College   123800       8       1183.0    0.502     0.745         0.716    684.0     9392.0        0.758064516              19500       71756.45   
83                        Mount Saint Mary's University   124300       8        915.0    0.581     0.876         0.765   1708.0     8226.0        0.799682035              20000       59943.90   
84                       Notre Dame de Namur University   117900       8        910.0    0.441     0.674         0.867    987.0     8293.0        0.833333333              19500       89560.16   
